1,21:53:31,22,益田
1,21:41:35,21,福田
1,7:54:42,22,福田
1,7:41:21,21,益田
2,17:17:53,31,307路
3,8:07:19,31,372
3,8:59:33,22,车公庙
3,8:14:23,21,布心
3,18:02:00,21,车公庙
3,18:41:27,22,布吉
4,11:10:05,31,23路
4,9:35:12,31,308路
5,10:13:03,31,27路
5,16:39:00,31,40路
5,17:53:10,31,203路
6,21:28:03,31,337路
6,8:08:58,31,382路
7,16:48:29,31,1路
8,15:03:37,31,101路
9,8:15:13,31,高快13
9,19:16:05,31,高快13
10,8:08:04,21,五和
10,8:47:54,22,燕南
10,21:39:41,21,科学馆
10,22:26:55,22,五和
11,19:59:24,21,燕南
11,20:16:55,22,景田
11,11:11:16,21,景田
11,11:31:01,22,燕南
12,19:50:51,31,J1路
13,9:01:50,31,M240
14,15:09:03,31,13路
14,16:28:56,31,372
15,17:05:13,31,229路
15,7:58:05,31,229路
16,7:01:21,31,85路
16,15:24:20,31,61路
17,6:36:06,31,229路
17,16:07:42,31,229路
18,21:36:39,21,香梅北
18,20:10:59,21,坂田
18,20:53:22,22,香梅北
18,22:31:08,22,坂田
19,7:10:00,31,29路
19,18:08:40,22,布心
19,17:22:15,21,竹子林
19,7:30:54,31,204路
20,16:28:00,31,212路
20,18:31:50,31,203路
21,6:37:47,31,226路
21,19:08:21,31,74路
22,17:04:59,31,383路
22,21:11:01,31,62路
23,15:16:18,31,M203
23,20:43:40,31,201路
23,19:56:00,31,12路
23,15:32:50,21,莲花北
23,15:49:10,22,福田口岸
24,12:34:30,31,211路
24,12:05:41,31,203路
25,6:33:48,31,1路
25,17:02:38,31,1路
26,21:30:38,31,362路
26,17:11:14,31,328
26,21:09:04,31,328
26,17:09:36,31,74路
27,19:36:48,31,82路
27,11:36:27,31,82路
28,22:28:10,31,K113路
28,19:35:12,31,113路
29,17:57:59,22,田贝
29,17:41:39,21,None
29,9:02:28,22,科学馆
29,8:44:41,21,田贝
30,19:46:28,31,107路
31,8:07:12,31,M363
31,17:33:45,31,M363
32,14:51:38,31,70路
32,11:37:15,31,70路
33,11:36:59,31,70路
34,5:46:17,31,M354线（融资混动）
35,8:03:04,31,17路
35,21:01:28,31,M373路
36,17:41:16,21,None
36,17:50:31,22,红岭
37,22:22:10,22,大剧院
37,21:45:54,21,深圳北
38,13:55:46,21,大剧院
38,14:01:39,22,老街
39,7:43:19,31,M335线（融资纯电动）
39,8:16:49,31,M251线（融资纯电动）
40,14:51:05,22,大剧院
40,14:08:55,21,五和
41,7:57:24,31,316路
42,18:13:42,21,老街
42,18:24:27,22,华强路
42,8:01:23,21,华强路
42,8:14:39,22,老街
43,7:10:01,31,103路
43,6:56:38,31,M383路
43,17:57:43,31,B653路
43,17:21:31,31,103B路
44,16:45:44,21,清湖
44,17:37:35,22,白石洲
44,10:28:36,22,清湖
44,9:30:27,21,白石洲
45,8:02:57,21,大新
45,8:16:10,22,坪洲
45,20:15:18,22,大新
45,19:58:31,21,坪洲
46,10:32:28,22,大运
46,10:16:33,21,双龙
46,10:42:51,31,B809
47,8:11:41,31,M209路
48,7:08:41,31,10路
